7
51
ID,Name,Value,,重要度,型名,Help
Enemy_Priority,描画優先度,80,,×設定を変更は要検討,int型,1以上100以下に設定。プログラムとの兼ね合いがあるため変更は、要検討。増減させることで描画の順序が変わる
Enemy_Hp,敵のHP,600,,〇ゲームバランスに関わる設定,int型,1以上0にしない。数値を大きくするとHPが増える。小さくするとHPが減る
Enemy_Hp_Max,敵のHP最大値,600,,〇ゲームバランスに関わる設定,int型,1以上0にしない。数値を大きくするとHP上限が増える。小さくするとHP上限が増える
Enemy_Attack_Point,攻撃力,32,,〇ゲームバランスに関わる設定,int型,1以上0にしない。数値を大きくすると攻撃力が上がり、敵の攻撃が強くなる。小さくすると攻撃力が下がり、敵の攻撃が弱くなる。
Enemy_Defense_Point,守備力,26,,〇ゲームバランスに関わる設定,int型,1以上0にしない。数値を大きくすると防御力が上がり、敵の耐久力が上がる。小さくすると防御力が下がり、敵の耐久力が下がる。
Enemy_Stan_Point,スタン値,90,,〇ゲームバランスに関わる設定,int型,1以上0にしない。数値を大きくするとプレイヤがスタンしやすくなる。
Enemy_Damage_Magnification,敵のダメージ倍率,0.2,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくするとプレイヤに与えるダメージが上がる。
Enemy_Death_Hp,敵の死亡条件,0,,〇ゲームバランスに関わる設定,int型,数値を設定するとその数値になった時点で死亡
Enemy_Gravity,敵の重力,0.9,,△行動指針設定,false型,0以上に設定。数値を増やすと重力が強くなる
Enemy_StanAccumulation,敵のスタン蓄積,0,,△初期化目的の設定,int型,スタン値の初期化
Enemy_StanAccumulation_Max,敵のスタン蓄積最大値,100,,〇ゲームバランスに関わる設定,int型,0以上に設定。スタン値の蓄積の臨界点設定、数値を大きくするとスタンしにくくなる。小さくするとスタンしやすくなる。
Enemy_Speed_WalkPattern,通常移動のスピード設定,0.1,,〇ゲームバランスに関わる設定,false型,0以上に設定。通常移動時のスピード設定、数値を大きくすると通常移動のスピードが上がる。小さくすると通常移動のスピードが下がる。
Enemy_Speed_DashPattern,ダッシュのスピード設定,0.25,,〇ゲームバランスに関わる設定,false型,0以上に設定。ダッシュ時のスピード設定、数値を大きくするとダッシュ時のスピードが上がる。小さくするとダッシュ時スピードが下がる。
Enemy_Speed_BackPattern,後退のスピードパターン,0.09,,〇ゲームバランスに関わる設定,false型,0以上に設定。後退時のスピード設定、数値を大きくすると後退時のスピードが上がる。小さくすると後退時のスピードが下がる。
Enemy_Walk_Dis,歩行状態を開始する距離,30,,△行動指針設定,false型,0以上に設定。歩行状態を開始する時点のプレイヤとの距離を設定する。数値を増やすとプレイヤとの距離を設定した数値の距離の時点でプレイヤに向かって歩行を開始する
Enemy_Walk_Dis_Max,歩行状態を終了する距離,40,,△行動指針設定,false型,0以上に設定。歩行状態を終了する時点のプレイヤとの距離を設定する。数値を増やすとプレイヤとの距離を設定した数値の距離の時点でプレイヤに向かっての歩行を終了する
Enemy_Dash_Dis,走行状態を開始する距離,41,,△行動指針設定,false型,0以上に設定。ダッシュ状態を開始する時点のプレイヤとの距離を設定する。数値を増やすとプレイヤとの距離を設定した数値の距離の時点でプレイヤに向かってダッシュする
Enemy_Dash_Dis_Max,走行状態を終了する距離,50,,△行動指針設定,false型,0以上に設定。ダッシュ状態を終了する時点のプレイヤとの距離を設定する。数値を増やすとプレイヤとの距離を設定した数値の距離の時点でプレイヤに向かってダッシュを止める
Enemy_Attack_Dis,攻撃可能になる距離,4.4,,〇ゲームバランスに関わる設定,false型,0以上に設定。敵が攻撃開始時のプレイヤとの距離が設定した数値より小さい、同じであれば攻撃を開始する。設定した数値より大きければ、攻撃を開始しない。
Enemy_Attack_Reception,当たり判定の発生,30,,〇ゲームバランスに関わる設定,false型,0以上に設定。敵の攻撃に当たり判定が発生するタイミングの数値。大きくすると当たり判定の発生が遅くなり、小さくすると早くなる。
Enemy_Attack_Outreception,当たり判定の終了,50,,〇ゲームバランスに関わる設定,false型,0以上に設定。敵の攻撃に当たり判定が終了するタイミングの数値。大きくすると当たり判定の終了が遅くなり、小さくすると早くなる。
Enemy_Action_Rand,アクションの推移設定,2,,×設定を変更は要検討,int型,プログラムとの兼ね合いがあるため変更は、要検討
Enemy_Attack_Walk_Rand,歩行状態からの攻撃行動発生の確率,5,,△行動指針設定,int型,攻撃行動の更新頻度。数値を数値を大きくすると確率が下がり、小さくする確率が上がる
Enemy_Attack_Dash_Rand,走行状態からの攻撃行動発生の確率,5,,△行動指針設定,int型,攻撃行動の更新頻度。数値を数値を大きくすると確率が下がり、小さくする確率が上がる
Enemy_AttackSp1_Set,攻撃1の時、攻撃可能時追従する精度設定,2,,△行動指針設定,int型,追従の更新頻度。数値を数値を大きくすると確率が下がり、小さくする確率が上がる
Enemy_AttackSp2_Set,攻撃2の時、攻撃可能時追従する精度設定,2,,△行動指針設定,int型,追従の更新頻度。数値を数値を大きくすると確率が下がり、小さくする確率が上がる
Enemy_Idle_Animation_Frame,待機アニメーションフレーム,50,,〇ゲームバランスに関わる設定,false型,0以上に設定。待機アニメーションの速度が変わる。数値を大きくすると遅くなり、小さくすると早くなる。
Enemy_Move_Animation_Frame,歩行アニメーションフレーム,50,,〇ゲームバランスに関わる設定,false型,0以上に設定。歩行アニメーションの速度が変わる。数値を大きくすると遅くなり、小さくすると早くなる。
Enemy_Dash_Animation_Frame,走行アニメーションフレーム,45,,〇ゲームバランスに関わる設定,false型,0以上に設定。ダッシュアニメーションの速度が変わる。数値を数値を大きくすると遅くなり、小さくすると早くなる。
Enemy_BackStep_Animation_Frame,後退アニメーションフレーム,55,,〇ゲームバランスに関わる設定,false型,0以上に設定。後退アニメーションの速度が変わる。数値を数値を大きくすると遅くなり、小さくすると早くなる。
Enemy_Attack1_Animation_Frame,攻撃1アニメーションフレーム,120,,〇ゲームバランスに関わる設定,false型,0以上に設定。攻撃1アニメーションの速度が変わる。数値を数値を大きくすると遅くなり、小さくすると早くなる。
Enemy_Attack2_Animation_Frame,攻撃2アニメーションフレーム,110,,〇ゲームバランスに関わる設定,false型,0以上に設定。攻撃2アニメーションの速度が変わる。数値を大きくすると遅くなり、小さくすると早くなる。
Enemy_Knockback_Animation_Frame,ノックバックアニメーションフレーム,60,,〇ゲームバランスに関わる設定,false型,0以上に設定。ノックバックアニメーションの速度が変わる。数値を大きくすると遅くなり、小さくすると早くなる。
Enemy_Death_Animation_Frame,死亡アニメーションフレーム,60,,〇ゲームバランスに関わる設定,false型,0以上に設定。死亡アニメーションの速度が変わる。数値を大きくすると遅くなり、小さくすると早くなる。
Enemy_Animation_No_Attack_1,攻撃アニメーション1番号,0,,×設定を変更は要検討,int型,プログラムとの兼ね合いがあるため変更は、要検討
Enemy_Animation_No_Attack_2,攻撃アニメーション2番号,1,,×設定を変更は要検討,int型,プログラムとの兼ね合いがあるため変更は、要検討
Enemy_Animation_No_Walk,歩行アニメーション番号,2,,×設定を変更は要検討,int型,プログラムとの兼ね合いがあるため変更は、要検討
Enemy_Animation_No_Dash,走行アニメーション番号,3,,×設定を変更は要検討,int型,プログラムとの兼ね合いがあるため変更は、要検討
Enemy_Animaton_No_BackStep,後退アニメーション番号,4,,×設定を変更は要検討,int型,プログラムとの兼ね合いがあるため変更は、要検討
Enemy_Animation_No_Idle,待機アニメーション番号,5,,×設定を変更は要検討,int型,プログラムとの兼ね合いがあるため変更は、要検討
Enemy_Animation_No_Knockback,ノックバックアニメーション番号,6,,×設定を変更は要検討,int型,プログラムとの兼ね合いがあるため変更は、要検討
Enemy_Animation_No_Death,死亡アニメーション番号,7,,×設定を変更は要検討,int型,プログラムとの兼ね合いがあるため変更は、要検討
Enemy_MainGame1_Position_X,X座標,20,,×設定を変更は要検討,false型,プログラムとの兼ね合いがあるため変更は、要検討
Enemy_MainGame1_Position_Y,Y座標,1.5,,×設定を変更は要検討,false型,プログラムとの兼ね合いがあるため変更は、要検討
Enemy_MainGame1_Position_Z,Z座標,-20,,×設定を変更は要検討,false型,プログラムとの兼ね合いがあるため変更は、要検討
