3
60
ID,Name,Value
Enemy_Priority,描画優先度,80
Enemy_Speed_WalkPattern,通常移動のスピードパターン,0.1
Enemy_Speed_DashPattern,走行移動のスピードパターン,0.25
Enemy_Walk_Dis,歩行状態を開始する距離,30
Enemy_Dash_Dis,走行状態を開始する距離,60
Enemy_Walk_Dis_Max,歩行状態を終了する距離,50
Enemy_Dash_Dis_Max,走行状態を終了する距離,80
Enemy_Attack_Dis,攻撃可能になる距離,4.4
Enemy_Attack_Reception,当たり判定の発生,10
Enemy_Attack_Outreception,当たり判定の終了,80
Enemy_Attack_Walk_Rand,歩行状態からの攻撃行動発生の確率,5
Enemy_Attack_Dash_Rand,走行状態からの攻撃行動発生の確率,5
Enemy_AttackSp1_Set,攻撃1の時、攻撃可能時追従する精度設定,7
Enemy_AttackSp2_Set,攻撃2の時、攻撃可能時追従する精度設定,7
Enemy_Idle_Animation_Frame,待機アニメーションフレーム,60
Enemy_Move_Animation_Frame,歩行アニメーションフレーム,60
Enemy_Dash_Animation_Frame,走行アニメーションフレーム,50
Enemy_BackStep_Animation_Frame,後退アニメーションフレーム,60
Enemy_Attack1_Animation_Frame,攻撃1アニメーションフレーム,160
Enemy_Attack2_Animation_Frame,攻撃2アニメーションフレーム,160
Enemy_Knockback_Animation_Frame,ノックバックアニメーションフレーム,60
Enemy_Death_Animation_Frame,死亡アニメーションフレーム,60
Enemy_Animation_No_Attack_1,攻撃アニメーション1番号,0
Enemy_Animation_No_Attack_2,攻撃アニメーション2番号,1
Enemy_Animation_No_Walk,歩行アニメーション番号,2
Enemy_Animation_No_Dash,走行アニメーション番号,3
Enemy_Animaton_No_BackStep,後退アニメーション番号,4
Enemy_Animation_No_Idle,待機アニメーション番号,5
Enemy_Animation_No_Knockback,ノックバックアニメーション番号,6
Enemy_Animation_No_Death,死亡アニメーション番号,7
Enemy_Position_X,X座標,0
Enemy_Position_Y,Y座標,1.5
Enemy_Position_Z,Z座標,-20
Enemy_Scale_X,モデルのスケール設定X座標,2
Enemy_Scale_Y,モデルのスケール設定Y座標,2.4
Enemy_Scale_Z,モデルのスケール設定Z座標,2
Enemy_Rotation_X,モデルの回転設定X座標,0
Enemy_Rotation_Y,モデルの回転設定Y座標,0
Enemy_Rotation_Z,モデルの回転設定Z座標,0
Enemy_ColCapsule_Body_X,敵のカプセルコライダX座標,0
Enemy_ColCapsule_Body_Top_Y,敵のカプセルコライダ天井Y座標,190
Enemy_ColCapsule_Body_Bottom_Y,敵のカプセルコライダ底Y座標,-31
Enemy_ColCapsule_Body_Z,敵のカプセルコライダZ座標,0
Enemy_ColCapsule_Body_Size,敵のカプセルコライダサイズ,1.2
Enemy_ColSphere_Body_X,敵の球コライダX座標,0
Enemy_ColSphere_Body_Y,敵の球コライダY座標,94
Enemy_ColSphere_Body_Z,敵の球コライダZ座標,5
Enemy_ColSphere_Body_Size,敵の球コライダサイズ,1.3
Enemy_ColSphere_Rightarm_Size,敵の右腕コライダサイズ,0.7
Enemy_ColSphere_Leftarm_Size,敵の左腕コライダサイズ,0.7
Enemy_Gravity,敵の重力,0.9
Enemy_StanAccumulation,敵のノックバック蓄積,0
Enemy_StanAccumulation_Max,敵のノックバック蓄積最大値,100
Enemy_Hp,敵のHP,150
Enemy_Hp_Max,敵のHP最大値,150
Enemy_Attack_Point,攻撃力,35
Enemy_Defense_Point,守備力,26
Enemy_Stan_Point,スタン値,70
Enemy_Hp_State,敵の状態推移HP設定,75
Enemy_Death_Hp,敵の死亡条件,0

