3
56
ID,Name,Value
Player_Priority,描画優先度,95
Player_Hp,プレイヤ体力,100
Player_Hp_Max,プレイヤ体力最大値,100
Player_Attack_Point,プレイヤの攻撃力,25
Player_Defense_Point,プレイヤの防御力,25
Player_Stan_Point,プレイヤの与えるスタン値,40
Player_StanAccumulation,プレイヤのスタン蓄積,0
Player_StanAccumulation_Max,プレイヤのスタン蓄積最大値,120
Player_GameOver_Hp,ゲームオーバー条件,0
Player_Speed_Default,スピード初期値,0.2
Player_Speed_Avoid,回避スピード,0.3
Player_Avoid_Time,回避時間,40
Player_Gravity,プレイヤの重力,0.9
Player_Thrust,プレイヤの推力,0.9
Player_Se,プレイヤのSE音量設定,0.1
Player_Damage_Se,プレイヤのダメージSE音量設定,0.3
Player_Push_Reception,プレイヤのコンボ終了時間,220
Player_Attack_InReception,プレイヤの攻撃の当たり判定開始時間,1
Player_Attack_OutReception,プレイヤの攻撃の当たり判定終了時間,60
Player_Attack_Dis,プレイヤの攻撃が追従する距離,2.2
Player_Position_X,プレイヤの位置X座標,0
Player_Position_Y,プレイヤの位置Y座標,0
Player_Position_Z,プレイヤの位置Z座標,20
Player_Scale_X,プレイヤの拡縮X座標,2
Player_Scale_Y,プレイヤの拡縮Y座標,2
Player_Scale_Z,プレイヤの拡縮Z座標,2
Player_Rotation_X,プレイヤの回転X座標,0
Player_Rotation_Y,プレイヤの回転Y座標,180
Player_Rotation_Z,プレイヤの回転Z座標,0
Player_Idle_Animation_Frame,プレイヤの待機アニメーションフレーム数,70
Player_Move_Animation_Frame,プレイヤの移動アニメーションフレーム数,70
Player_Avoidance_Animation_Frame,プレイヤの回避アニメーションフレーム数,80
Player_Attack1_Animation_Frame,プレイヤの攻撃1アニメーションフレーム数,60
Player_Attack1_Idle_Animation_Frame,プレイヤの攻撃1待機アニメーションフレーム数,30
Player_Attack2_Animation_Frame,プレイヤの攻撃2アニメーションフレーム数,50
Player_Attack2_Idle_Animation_Frame,プレイヤの攻撃2待機アニメーションフレーム数,20
Player_KnockBack_Animation_Frame,プレイヤのノックバックアニメションフレーム数,50
Player_Death_Animation_Frame,プレイヤの死亡アニメーションフレーム数,180
Player_Animation_No_Move,移動アニメーション番号,0
Player_Animation_No_Attack1,攻撃1アニメーション番号,1
Player_Animation_No_Attack1_Idle,攻撃1待機アニメーション番号,2
Player_Animation_No_Attack2,攻撃2アニメーション番号,3
Player_Animation_No_Attack2_Idle,攻撃2待機アニメーション番号,4
Player_Animation_No_AvoidDance,回避アニメーション番号,5
Player_Animation_No_Idle,待機アニメーション番号,6
Player_Animation_No_Knockback,ノックバックアニメーション番号,7
Player_Animation_No_Death,死亡アニメーション番号,8
Player_Gauge_Hp_Shake_X,HPゲージの揺れ幅最小値,-5
Player_Gauge_Hp_Shake_Y,HPゲージの揺れ高さ最小値,-2
Player_Gauge_Hp_Shake_Range_X,HPゲージの揺れ幅最大値,12
Player_Gauge_Hp_Shake_Range_Y,HPゲージの揺れ高さ最大値,2
Player_Gauge_Hp_Rate,HPゲージのふり幅設定,0.05
Player_Trun_Set,プレイヤの回転設定,180
Player_Trun_Speeds_Set,プレイヤの回転スピード設定,0.3
Player_Trun_Check_Speeds_Set,プレイヤの回転スピード監視最大値設定,1.5
Player_Trun_Check_Set,プレイヤの回転スピード監視設定,0

