7
9
ID,Name,Value,,重要度,型名,Help
Stone_Position_X,X座標,20,,×設定を変更は要検討,false型,プログラムとの兼ね合いがあるため変更は、要検討
Stone_Position_Y,Y座標,0.5,,×設定を変更は要検討,false型,プログラムとの兼ね合いがあるため変更は、要検討
Stone_Position_Z,Z座標,-20,,×設定を変更は要検討,false型,プログラムとの兼ね合いがあるため変更は、要検討
Stone_Scale_X,モデルのスケール設定X座標,1,,△初期化目的の設定,false型,モデルのスケール設定、数値を大きくすれば、モデルが大きくなる。小さくすれば、モデルも小さくなる
Stone_Scale_Y,モデルのスケール設定Y座標,1,,△初期化目的の設定,false型,モデルのスケール設定、数値を大きくすれば、モデルが大きくなる。小さくすれば、モデルも小さくなる
Stone_Scale_Z,モデルのスケール設定Z座標,1,,△初期化目的の設定,false型,モデルのスケール設定、数値を大きくすれば、モデルが大きくなる。小さくすれば、モデルも小さくなる
Stone_Rotation_X,モデルの回転設定X座標,0,,△初期化目的の設定,false型,モデルの回転方向の設定
Stone_Rotation_Y,モデルの回転設定Y座標,0,,△初期化目的の設定,false型,モデルの回転方向の設定
Stone_Rotation_Z,モデルの回転設定Z座標,0,,△初期化目的の設定,false型,モデルの回転方向の設定

