7
57
ID,Name,Value,,重要度,型名,Help
Player_Priority,描画優先度,95,,×設定を変更は、要検討,int型,1以上100以下に設定。プログラムとの兼ね合いがあるため変更は、要検討。増減させることで描画の順序が変わる
Player_Hp,プレイヤ体力,150,,〇ゲームバランスに関わる設定,int型,1以上0にしない。数値を大きくするとHPが増える。小さくするとHPが減る
Player_Hp_Max,プレイヤ体力最大値,150,,〇ゲームバランスに関わる設定,int型,1以上0にしない。数値を大きくするとHP上限が増える。小さくするとHP上限が増える
Player_Attack_Point,プレイヤの攻撃力,26,,〇ゲームバランスに関わる設定,int型,1以上0にしない。数値を大きくすると攻撃力が上がり、プレイヤの攻撃が強くなる。小さくすると攻撃力が下がり、プレイヤの攻撃が弱くなる
Player_Defense_Point,プレイヤの防御力,25,,〇ゲームバランスに関わる設定,int型 ,1以上0にしない。数値を大きくすると防御力が上がり、プレイヤの耐久力が上がる。小さくすると防御力が下がり、プレイヤの耐久力が低くなる
Player_Stan_Point,プレイヤの与えるスタン値,40,,〇ゲームバランスに関わる設定,int型,1以上0にしない。数値を大きくするとスタン値が上がり、敵をひるませやすくなる。小さくするとスタン値が低くなり、敵がひるみにくくなる。
Player_StanAccumulation,プレイヤのスタン蓄積,0,,△初期化の設定,int型,スタン値の初期化
Player_StanAccumulation_Max,プレイヤのスタン蓄積最大値,120,,△行動指針設定,int型,1以上0にしない。ひるむまでの許容値設定。大きくするとひるみにくくなる。小さくするとひるみやすくなる。
Player_Damage_Magnification,プレイヤのダメージ倍率,0.2,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくすると敵から受けるダメージが上がる。
Player_GameOver_Hp,ゲームオーバー条件,0,,〇ゲームバランスに関わる設定,int型,数値を設定するとその数値になった時点で死亡
Player_Speed_Default,移動スピード,0.2,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくするとプレイヤの移動速度が上がり、数値を小さくするとプレイヤの移動速度が下がる。
Player_Speed_Avoid,回避スピード,0.24,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくするとプレイヤの回避速度が上がり、数値を小さくするとプレイヤの回避速度が下がる。
Player_Avoid_Time,回避時間,40,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくするとプレイヤの回避時間が延び、数値を小さくするとプレイヤの回避時間が短くなる。
Player_Gravity,プレイヤの重力,0.9,,△ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくするとプレイヤにかかる重力が大きくなり、小さくするとプレイヤにかかる重力が軽くなる
Player_Thrust,プレイヤの推力,0.9,,△ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくするとプレイヤにかかる推力が大きくなり、小さくするとプレイヤにかかる推力が小さくなる
Player_Se,プレイヤのSE音量設定,0.1,,△ゲーム体験に関わる設定,false型,0以上に設定。数値を大きくするとSEの音が大きくなり、小さくするとSEの音も小さくなる。
Player_Damage_Se,プレイヤのダメージSE音量設定,0.3,,△ゲーム体験に関わる設定,false型,0以上に設定。数値を大きくすると被弾時のSEの音が大きくなり、小さくすると被弾時のSEの音も小さくなる。
Player_Push_Reception,プレイヤのコンボ終了時間,220,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくすると攻撃コンボがつながりやすくなる。小さくするとコンボがつながりにくくなる。
Player_Attack_InReception,プレイヤの攻撃の当たり判定開始時間,1,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくすると当たり判定の発生が遅くなり、小さくすると早くなる。
Player_Attack_OutReception,プレイヤの攻撃の当たり判定終了時間,60,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくすると当たり判定の終了が遅くなり、小さくすると早くなる。
Player_Attack_Dis,プレイヤの攻撃が追従する距離,6.2,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくすると追従範囲が伸び、小さくすると短くなる。
Player_Position_X,プレイヤの位置X座標,0,,×設定を変更は、要検討,false型,
Player_Position_Y,プレイヤの位置Y座標,0,,×設定を変更は、要検討,false型,
Player_Position_Z,プレイヤの位置Z座標,20,,×設定を変更は、要検討,false型,
Player_Scale_X,プレイヤの拡縮X座標,2,,△初期化目的の設定,false型,モデルのスケール設定、数値を大きくすれば、モデルが大きくなる。小さくすれば、モデルも小さくなる
Player_Scale_Y,プレイヤの拡縮Y座標,2,,△初期化目的の設定,false型,モデルのスケール設定、数値を大きくすれば、モデルが大きくなる。小さくすれば、モデルも小さくなる
Player_Scale_Z,プレイヤの拡縮Z座標,2,,△初期化目的の設定,false型,モデルのスケール設定、数値を大きくすれば、モデルが大きくなる。小さくすれば、モデルも小さくなる
Player_Rotation_X,プレイヤの回転X座標,0,,△初期化目的の設定,false型,モデルの回転方向の設定
Player_Rotation_Y,プレイヤの回転Y座標,180,,△初期化目的の設定,false型,モデルの回転方向の設定
Player_Rotation_Z,プレイヤの回転Z座標,0,,△初期化目的の設定,false型,モデルの回転方向の設定
Player_Idle_Animation_Frame,プレイヤの待機アニメーションフレーム数,60,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくすると待機アニメーションが長くなり、小さくすると短くなる
Player_Move_Animation_Frame,プレイヤの移動アニメーションフレーム数,50,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくすると移動アニメーションが長くなり、小さくすると短くなる
Player_Avoidance_Animation_Frame,プレイヤの回避アニメーションフレーム数,55,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくすると回避アニメーションが長くなり、小さくすると短くなる
Player_Attack1_Animation_Frame,プレイヤの攻撃1アニメーションフレーム数,40,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくすると攻撃1アニメーションが長くなり、小さくすると短くなる
Player_Attack1_Idle_Animation_Frame,プレイヤの攻撃1待機アニメーションフレーム数,15,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくすると攻撃1待機アニメーションが長くなり、小さくすると短くなる
Player_Attack2_Animation_Frame,プレイヤの攻撃2アニメーションフレーム数,40,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくすると攻撃2アニメーションが長くなり、小さくすると短くなる
Player_Attack2_Idle_Animation_Frame,プレイヤの攻撃2待機アニメーションフレーム数,20,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくすると攻撃2待機アニメーションが長くなり、小さくすると短くなる
Player_KnockBack_Animation_Frame,プレイヤのノックバックアニメションフレーム数,50,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくするとノックバックアニメーションが長くなり、小さくすると短くなる
Player_Death_Animation_Frame,プレイヤの死亡アニメーションフレーム数,180,,〇ゲームバランスに関わる設定,false型,0以上に設定。数値を大きくすると死亡アニメーションが長くなり、小さくすると短くなる
Player_Animation_No_Move,移動アニメーション番号,0,,△初期設定,int型,アニメーション番号設定
Player_Animation_No_Attack1,攻撃1アニメーション番号,1,,△初期設定,int型,アニメーション番号設定
Player_Animation_No_Attack1_Idle,攻撃1待機アニメーション番号,2,,△初期設定,int型,アニメーション番号設定
Player_Animation_No_Attack2,攻撃2アニメーション番号,3,,△初期設定,int型,アニメーション番号設定
Player_Animation_No_Attack2_Idle,攻撃2待機アニメーション番号,4,,△初期設定,int型,アニメーション番号設定
Player_Animation_No_AvoidDance,回避アニメーション番号,5,,△初期設定,int型 ,アニメーション番号設定
Player_Animation_No_Idle,待機アニメーション番号,6,,△初期設定,int型,アニメーション番号設定
Player_Animation_No_Knockback,ノックバックアニメーション番号,7,,△初期設定,int型,アニメーション番号設定
Player_Animation_No_Death,死亡アニメーション番号,8,,△初期設定,int型,アニメーション番号設定
Player_Gauge_Hp_Shake_X,HPゲージの揺れ幅最小値,-5,,△UI設定,int型,
Player_Gauge_Hp_Shake_Y,HPゲージの揺れ高さ最小値,-2,,△UI設定,int型,
Player_Gauge_Hp_Shake_Range_X,HPゲージの揺れ幅最大値,12,,△UI設定,int型,
Player_Gauge_Hp_Shake_Range_Y,HPゲージの揺れ高さ最大値,2,,△UI設定,int型 ,
Player_Gauge_Hp_Rate,HPゲージのふり幅設定,0.05,,△UI設定,false型,
Player_Trun_Set,プレイヤの回転設定,180,,△プレイヤのモデル回転設定,false型,
Player_Trun_Speeds_Set,プレイヤの回転スピード設定,0.3,,△プレイヤのモデル回転設定,false型,
Player_Trun_Check_Speeds_Set,プレイヤの回転スピード監視最大値設定,1.5,,△プレイヤのモデル回転設定,false型,
Player_Trun_Check_Set,プレイヤの回転スピード監視設定,0,,△プレイヤのモデル回転設定,false型,0にする初期設定

